p_type,flag,seq,my_data_req,my_data_res,check_it,class
6,6,4,0,0,0,0
10,7,9,0,0,0,0
5,2,7,0,0,0,0
5,2,8,0,0,0,0
5,8,4,0,0,0,0
8,3,6,0,0,0,0
2,3,4,0,205,2,1
6,5,5,0,0,0,0
8,4,5,0,0,0,0
1,4,3,102,0,0,1
8,7,3,0,0,0,0
2,4,5,0,206,3,1
9,5,8,0,0,0,0
1,4,5,103,0,0,1
1,4,6,101,0,0,1
1,3,5,135,0,0,0
2,3,5,0,205,3,1
3,7,8,0,0,0,0
2,2,5,0,204,3,1
3,2,4,0,0,0,0
2,4,6,0,206,2,1
5,3,6,0,0,0,0
1,3,5,103,0,0,1
1,4,5,102,0,0,1
2,3,6,0,203,2,1
10,3,8,0,0,0,0
2,2,5,0,204,2,1
1,8,10,128,0,0,0
1,4,6,103,0,0,1
5,7,5,0,0,0,0
8,7,6,0,0,0,0
1,4,7,174,0,0,0
2,3,4,0,205,2,1
1,2,6,101,0,0,1
2,7,3,0,221,7,0
2,4,6,0,203,3,1
1,3,6,101,0,0,1
1,4,3,101,0,0,1
7,2,8,0,0,0,0
2,3,6,0,203,2,1
2,4,3,0,203,3,1
1,2,4,101,0,0,1
2,2,10,0,216,12,0
1,2,6,101,0,0,1
1,6,6,175,0,0,0
2,3,4,0,204,2,1
2,3,3,0,204,3,1
1,2,6,101,0,0,1
2,3,4,0,203,2,1
2,2,6,0,204,3,1
7,7,9,0,0,0,0
2,3,6,0,204,3,1
1,4,6,102,0,0,1
2,2,5,0,204,2,1
2,3,3,0,206,2,1
10,5,5,0,0,0,0
2,3,6,0,205,2,1
1,2,6,102,0,0,1
7,7,3,0,0,0,0
1,4,4,101,0,0,1
2,3,3,0,203,2,1
2,2,6,0,204,2,1
9,8,10,0,0,0,0
7,3,6,0,0,0,0
2,3,6,0,206,2,1
2,3,5,0,203,2,1
1,3,8,116,0,0,0
2,3,5,0,206,2,1
1,3,6,103,0,0,1
5,8,6,0,0,0,0
8,6,10,0,0,0,0
2,2,4,0,204,2,1
9,3,7,0,0,0,0
9,7,7,0,0,0,0
2,4,9,0,227,8,0
2,7,3,0,233,11,0
2,4,4,0,203,2,1
2,4,3,0,205,2,1
2,2,4,0,204,3,1
4,7,4,0,0,0,0
1,8,6,181,0,0,0
1,2,6,103,0,0,1
2,2,6,0,205,2,1
1,4,5,101,0,0,1
1,2,5,103,0,0,1
1,3,6,101,0,0,1
6,7,7,0,0,0,0
3,2,3,0,0,0,0
8,3,6,0,0,0,0
1,2,3,101,0,0,1
4,6,4,0,0,0,0
2,7,9,0,226,10,0
2,4,3,0,205,2,1
2,4,4,0,206,2,1
2,3,5,0,206,3,1
10,6,4,0,0,0,0
7,7,11,0,0,0,0
9,4,11,0,0,0,0
2,2,3,0,203,2,1
1,3,6,103,0,0,1
1,3,5,102,0,0,1
1,4,4,101,0,0,1
1,2,4,102,0,0,1
1,3,6,103,0,0,1
5,5,5,0,0,0,0
2,3,6,0,205,3,1
1,2,5,102,0,0,1
5,7,3,0,0,0,0
2,2,3,0,205,3,1
2,4,3,0,203,3,1
1,4,4,103,0,0,1
9,5,11,0,0,0,0
6,3,7,0,0,0,0
1,3,6,201,0,0,0
1,2,6,101,0,0,1
2,2,3,0,205,2,1
1,2,6,103,0,0,1
5,5,11,0,0,0,0
1,2,3,101,0,0,1
1,4,6,177,0,0,0
1,7,6,158,0,0,0
1,2,4,101,0,0,1
1,4,6,101,0,0,1
2,2,6,0,203,3,1
2,6,6,0,224,7,0
5,8,3,0,0,0,0
4,2,10,0,0,0,0
1,3,5,103,0,0,1
2,2,5,0,206,3,1
1,3,6,103,0,0,1
8,3,4,0,0,0,0
1,4,5,103,0,0,1
7,8,8,0,0,0,0
1,4,4,101,0,0,1
1,4,4,103,0,0,1
3,6,3,0,0,0,0
2,6,9,0,206,3,0
4,4,6,0,0,0,0
4,4,8,0,0,0,0
3,7,3,0,0,0,0
3,7,5,0,0,0,0
7,7,11,0,0,0,0
1,4,5,102,0,0,1
9,3,7,0,0,0,0
2,5,9,0,206,9,0
1,4,4,103,0,0,1
7,7,10,0,0,0,0
10,8,7,0,0,0,0
2,2,3,0,205,3,1
1,2,4,102,0,0,1
1,4,6,101,0,0,1
6,5,10,0,0,0,0
1,2,6,101,0,0,1
2,3,5,0,203,3,1
2,3,4,0,203,3,1
8,7,9,0,0,0,0
5,6,10,0,0,0,0
4,6,6,0,0,0,0
4,8,6,0,0,0,0
2,3,4,0,206,3,1
1,3,4,102,0,0,1
2,4,3,0,206,2,1
2,3,4,0,204,2,1
7,7,6,0,0,0,0
7,5,11,0,0,0,0
1,4,3,101,0,0,1
7,3,5,0,0,0,0
4,6,11,0,0,0,0
6,5,4,0,0,0,0
1,2,5,101,0,0,1
7,7,8,0,0,0,0
1,2,4,101,0,0,1
6,4,7,0,0,0,0
2,2,4,0,206,3,1
2,4,9,0,213,2,0
2,2,3,0,205,2,1
2,2,4,0,204,2,1
2,4,3,0,204,2,1
1,3,5,103,0,0,1
3,5,10,0,0,0,0
8,6,5,0,0,0,0
2,4,5,0,204,2,1
2,8,10,0,222,7,0
2,2,6,0,203,2,1
2,2,5,0,204,3,1
6,5,10,0,0,0,0
1,3,6,102,0,0,1
10,4,5,0,0,0,0
5,8,3,0,0,0,0
1,3,6,102,0,0,1
2,4,6,0,204,2,1
2,3,6,0,205,2,1
2,2,5,0,206,3,1
4,4,3,0,0,0,0
10,3,3,0,0,0,0
10,4,3,0,0,0,0
5,4,5,0,0,0,0
1,3,4,102,0,0,1
4,6,5,0,0,0,0
2,3,5,0,206,2,1
1,6,7,132,0,0,0
2,2,4,0,203,3,1
2,2,6,0,203,2,1
2,2,5,0,204,3,1
6,8,6,0,0,0,0
1,4,3,101,0,0,1
1,2,5,103,0,0,1
1,2,3,102,0,0,1
2,2,3,0,203,2,1
1,2,3,102,0,0,1
3,2,7,0,0,0,0
2,4,6,0,206,3,1
7,2,7,0,0,0,0
8,4,6,0,0,0,0
6,6,7,0,0,0,0
8,2,3,0,0,0,0
1,2,6,103,0,0,1
8,7,3,0,0,0,0
3,3,8,0,0,0,0
2,2,3,0,205,2,1
2,4,5,0,205,2,1
9,6,9,0,0,0,0
1,4,6,103,0,0,1
1,5,3,113,0,0,0
6,6,7,0,0,0,0
2,4,4,0,204,2,1
9,2,3,0,0,0,0
6,6,7,0,0,0,0
1,2,4,101,0,0,1
2,7,11,0,228,3,0
1,4,4,102,0,0,1
2,4,4,0,206,3,1
10,6,11,0,0,0,0
5,4,5,0,0,0,0
9,4,11,0,0,0,0
2,4,3,0,218,6,0
5,2,6,0,0,0,0
2,6,6,0,226,11,0
1,4,5,101,0,0,1
2,2,6,0,205,2,1
5,4,7,0,0,0,0
4,7,10,0,0,0,0
6,4,7,0,0,0,0
1,4,4,102,0,0,1
2,3,4,0,205,2,1
2,2,5,0,203,3,1
5,2,3,0,0,0,0
2,3,5,0,205,2,1
2,2,3,0,206,2,1
10,5,7,0,0,0,0
8,8,5,0,0,0,0
9,8,10,0,0,0,0
2,4,3,0,206,2,1
2,3,3,0,203,3,1
1,4,5,103,0,0,1
1,4,5,103,0,0,1
7,4,5,0,0,0,0
1,3,6,103,0,0,1
6,2,9,0,0,0,0
9,3,9,0,0,0,0
3,5,9,0,0,0,0
8,8,6,0,0,0,0
